month,birth_number,CPI,employ_rate(%),unemploy_male(%),unemploy_famale(%),gender_pay_gap(%),working_hour,house_price,Nursery (Under two),Nursery (Two_and_over),weekly_childcost_childminder(Under two),Childminder (Two_and_over),covid_cumulative_model
Jan,4683,4,71,9.2,6.6,10.5,36.4,150490,96,94,90,88,0
Feb,4615,4.4,71,9.3,6.8,10.5,36.4,147862,96,94,90,88,0
Mar,4923,4,70.8,9.1,6.5,10.5,36.4,142143,96,94,90,88,0
Apr,4689,4.5,71.4,8.9,6.7,10.5,36.3,151501,96,94,90,88,0
May,4927,4.5,71.6,8.6,6.8,10.5,36.3,154317,96,94,90,88,0
Jun,4782,4.2,71.2,8.9,6.8,10.5,36.3,155611,96,94,90,88,0
Jul,4963,4.4,70.8,8.5,6.6,10.5,36.4,165862,96,94,90,88,0
Aug,5048,4.5,71,9.3,6.8,10.5,36.4,164278,96,94,90,88,0
Sept,4980,5.2,71.1,9.4,6.7,10.5,36.4,158968,96,94,90,88,0
Oct,4946,5,70.9,9.7,7.8,10.5,36.5,158678,96,94,90,88,0
Nov,4751,4.8,70.9,9.2,8.1,10.5,36.5,158364,96,94,90,88,0
Dec,4729,4.2,71,9,8.1,10.5,36.5,154945,96,94,90,88,0
Jan,4639,3.6,71.3,9.1,7.9,9.5,36.4,149984,102.05,97.51,92.68,91.87,0
Feb,4279,3.4,71.2,8.2,7.9,9.5,36.4,150191,102.05,97.51,92.68,91.87,0
Mar,4563,3.5,71.1,8.3,8,9.5,36.4,146294,102.05,97.51,92.68,91.87,0
Apr,4550,3,71.3,8.5,7.7,9.5,36.3,149830,102.05,97.51,92.68,91.87,0
May,4684,2.8,71.4,8.6,7.1,9.5,36.3,151768,102.05,97.51,92.68,91.87,0
Jun,4709,2.4,71,8.9,7.1,9.5,36.3,159070,102.05,97.51,92.68,91.87,0
Jul,4962,2.6,70.7,9.2,7.4,9.5,36.4,162297,102.05,97.51,92.68,91.87,0
Aug,4844,2.5,70.4,9.2,7.6,9.5,36.4,158093,102.05,97.51,92.68,91.87,0
Sept,4871,2.2,70.4,9,7.3,9.5,36.4,156076,102.05,97.51,92.68,91.87,0
Oct,4700,2.7,70.7,8.8,6.9,9.5,36.7,153029,102.05,97.51,92.68,91.87,0
Nov,4512,2.7,70.9,8.6,6.9,9.5,36.7,151439,102.05,97.51,92.68,91.87,0
Dec,4588,2.7,71.3,8.4,6.8,9.5,36.7,157717,102.05,97.51,92.68,91.87,0
Jan,4587,2.7,71.7,7.7,6.8,10,36.7,148669,106.38,103.69,98.15,96.67,0
Feb,4217,2.8,71.8,7.9,6.3,10,36.7,149417,106.38,103.69,98.15,96.67,0
Mar,4729,2.8,72.2,8,6.4,10,36.7,146084,106.38,103.69,98.15,96.67,0
Apr,4533,2.4,72,7.8,6.1,10,36.9,148480,106.38,103.69,98.15,96.67,0
May,4794,2.7,72.1,8,6.7,10,36.9,153129,106.38,103.69,98.15,96.67,0
Jun,4765,2.9,72.3,7.8,6.8,10,36.9,156812,106.38,103.69,98.15,96.67,0
Jul,5102,2.8,72.5,7.7,7.5,10,36.9,164416,106.38,103.69,98.15,96.67,0
Aug,4943,2.7,72.6,7.6,7.6,10,36.9,162416,106.38,103.69,98.15,96.67,0
Sept,5102,2.7,72.4,7.5,7.3,10,36.9,158878,106.38,103.69,98.15,96.67,0
Oct,4871,2.2,72.5,8,6.8,10,36.8,157994,106.38,103.69,98.15,96.67,0
Nov,4423,2.1,72.6,6.5,6.7,10,36.8,160705,106.38,103.69,98.15,96.67,0
Dec,4562,2,72.9,7.6,6.7,10,36.8,160333,106.38,103.69,98.15,96.67,0
Jan,4416,1.9,73.2,7.1,6.3,9.6,36.9,154038,109.89,105.52,99.77,100.52,0
Feb,4078,1.7,73.4,6.9,5.6,9.6,36.9,156303,109.89,105.52,99.77,100.52,0
Mar,4394,1.6,73.4,6.8,5.7,9.6,36.9,150204,109.89,105.52,99.77,100.52,0
Apr,4572,1.8,73.3,7.1,5.8,9.6,37,155772,109.89,105.52,99.77,100.52,0
May,4570,1.5,73.4,7.2,6.4,9.6,37,161931,109.89,105.52,99.77,100.52,0
Jun,4777,1.9,73.6,7.1,5.7,9.6,37,168108,109.89,105.52,99.77,100.52,0
Jul,4981,1.6,73.8,7.1,5.3,9.6,37,170047,109.89,105.52,99.77,100.52,0
Aug,4851,1.5,73.7,6.5,4.9,9.6,37,169942,109.89,105.52,99.77,100.52,0
Sept,4750,1.2,74,7,5,9.6,37,170687,109.89,105.52,99.77,100.52,0
Oct,4711,1.3,74,6.8,4.8,9.6,37.1,163119,109.89,105.52,99.77,100.52,0
Nov,4458,1,74.3,7,4.4,9.6,37.1,163545,109.89,105.52,99.77,100.52,0
Dec,4547,0.5,74,6.6,4,9.6,37.1,168650,109.89,105.52,99.77,100.52,0
Jan,4359,0.3,74.5,6.8,4.5,9.6,36.9,165727,115.45,109.83,104.06,103.04,0
Feb,4131,0,74.7,6.7,4.7,9.6,36.9,165968,115.45,109.83,104.06,103.04,0
Mar,4551,0,74.7,6.4,5.2,9.6,36.9,182847,115.45,109.83,104.06,103.04,0
Apr,4479,-0.1,74.4,6.5,4.9,9.6,36.7,178651,115.45,109.83,104.06,103.04,0
May,4727,0.1,73.9,6.3,4.5,9.6,36.7,157202,115.45,109.83,104.06,103.04,0
Jun,4718,0,73.8,6.5,4.9,9.6,36.7,165727,115.45,109.83,104.06,103.04,0
Jul,4824,0.1,73.5,6.5,5.7,9.6,36.6,169402,115.45,109.83,104.06,103.04,0
Aug,4664,0,74,7,5.8,9.6,36.6,171398,115.45,109.83,104.06,103.04,0
Sept,4766,-0.1,74.4,6.5,5.9,9.6,36.6,166126,115.45,109.83,104.06,103.04,0
Oct,4527,-0.1,74.8,6.1,5.3,9.6,36.1,165522,115.45,109.83,104.06,103.04,0
Nov,4396,0.1,74.8,5.8,5,9.6,36.1,166295,115.45,109.83,104.06,103.04,0
Dec,4438,0.2,74.4,6.4,4.8,9.6,36.1,169664,115.45,109.83,104.06,103.04,0
Jan,4271,0.3,74,6.9,4.9,9.4,36.5,160181,116.77,111.8,104.27,103.48,0
Feb,3956,0.3,73.4,7,4.9,9.4,36.5,158370,116.77,111.8,104.27,103.48,0
Mar,4435,0.5,73.4,7.1,4.6,9.4,36.5,157720,116.77,111.8,104.27,103.48,0
Apr,4253,0.3,74.1,6.9,4.4,9.4,36.4,161679,116.77,111.8,104.27,103.48,0
May,4437,0.3,73.9,6.3,4.3,9.4,36.4,161618,116.77,111.8,104.27,103.48,0
Jun,4471,0.5,73.8,5.8,4.5,9.4,36.4,168110,116.77,111.8,104.27,103.48,0
Jul,4736,0.6,73.7,5.5,4.2,9.4,36.4,170111,116.77,111.8,104.27,103.48,0
Aug,4764,0.6,73.3,5,4.5,9.4,36.4,168876,116.77,111.8,104.27,103.48,0
Sept,4526,1,73.3,5.2,4.7,9.4,36.4,171218,116.77,111.8,104.27,103.48,0
Oct,4476,0.9,73.3,5.8,4.9,9.4,36.9,166612,116.77,111.8,104.27,103.48,0
