"Title","LFS: Employment rate: Scotland: Aged 16-64: All: %: SA"
"CDID","LF42"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","13-12-2022"
"Next release","17 January 2023"
"Important notes",
"1992","68.8"
"1993","67.1"
"1994","68.2"
"1995","68.5"
"1996","67.9"
"1997","68.7"
"1998","69.1"
"1999","69.4"
"2000","70.7"
"2001","71.2"
"2002","71.5"
"2003","72.3"
"2004","72.9"
"2005","73.1"
"2006","73.3"
"2007","74.5"
"2008","74.0"
"2009","72.1"
"2010","70.5"
"2011","71.1"
"2012","71.0"
"2013","72.3"
"2014","73.7"
"2015","74.3"
"2016","73.6"
"2017","74.7"
"2018","75.1"
"2019","75.1"
"2020","73.9"
"2021","74.3"
"1992 Q2","68.7"
"1992 Q3","68.0"
"1992 Q4","66.9"
"1993 Q1","66.9"
"1993 Q2","66.9"
"1993 Q3","67.0"
"1993 Q4","67.4"
"1994 Q1","68.0"
"1994 Q2","68.0"
"1994 Q3","68.5"
"1994 Q4","68.3"
"1995 Q1","68.8"
"1995 Q2","68.6"
"1995 Q3","68.5"
"1995 Q4","68.2"
"1996 Q1","67.7"
"1996 Q2","68.1"
"1996 Q3","67.9"
"1996 Q4","67.9"
"1997 Q1","68.1"
"1997 Q2","68.5"
"1997 Q3","68.8"
"1997 Q4","69.5"
"1998 Q1","69.5"
"1998 Q2","69.3"
"1998 Q3","68.6"
"1998 Q4","69.1"
"1999 Q1","69.2"
"1999 Q2","69.3"
"1999 Q3","69.7"
"1999 Q4","69.5"
"2000 Q1","69.8"
"2000 Q2","70.4"
"2000 Q3","71.1"
"2000 Q4","71.6"
"2001 Q1","71.5"
"2001 Q2","71.5"
"2001 Q3","71.1"
"2001 Q4","70.9"
"2002 Q1","70.7"
"2002 Q2","71.3"
"2002 Q3","71.6"
"2002 Q4","72.4"
"2003 Q1","72.3"
"2003 Q2","72.8"
"2003 Q3","72.3"
"2003 Q4","71.9"
"2004 Q1","72.5"
"2004 Q2","72.8"
"2004 Q3","73.2"
"2004 Q4","73.2"
"2005 Q1","73.3"
"2005 Q2","72.9"
"2005 Q3","73.1"
"2005 Q4","73.1"
"2006 Q1","72.9"
"2006 Q2","72.7"
"2006 Q3","73.5"
"2006 Q4","74.2"
"2007 Q1","74.5"
"2007 Q2","74.9"
"2007 Q3","74.2"
"2007 Q4","74.3"
"2008 Q1","74.3"
"2008 Q2","74.3"
"2008 Q3","73.9"
"2008 Q4","73.3"
"2009 Q1","73.1"
"2009 Q2","72.0"
"2009 Q3","71.8"
"2009 Q4","71.5"
"2010 Q1","69.9"
